timestamp,frame_id,track_id,class,confidence,x1,y1,x2,y2
2025-09-15 10:25:37,2,4,bus,0.62,413,227,454,292
2025-09-15 10:25:38,8,8,car,0.4,474,217,531,300
2025-09-15 10:25:42,68,3,car,0.87,461,218,527,298
2025-09-15 10:25:46,134,324,bus,0.51,421,225,465,291
2025-09-15 10:25:49,187,130,car,0.78,419,217,480,298
2025-09-15 10:25:50,206,392,car,0.61,495,218,553,298
2025-09-15 10:25:51,221,423,motorcycle,0.42,470,244,490,272
2025-09-15 10:25:52,231,478,motorcycle,0.47,574,239,599,279
2025-09-15 10:25:53,246,448,motorcycle,0.58,528,245,548,271
2025-09-15 10:25:56,286,338,car,0.88,445,220,512,295
